medicine_name,manufacturer,composition,packaging,price(Rs.)
Omesr 500,Abbott India,tramadol(500mg),5 ml,482.44
Azeexr 20,Dabur Pharma,Calcium carbonate 250  mg,5 ml,271.98
Azeesr 40,Torrent Pharma,DICLOFENAC-200mg,5 ml,149.63
Omecap 500,Glenmark,aspirin 200mg,10 capsules,144.91
Augxr 250,Glenmark,Atorvastatin 10  mg,10 capsules,130.45
Panforte 1000,Aurobindo Pharma,vitamin d3(250mg),1 bottle,454.06
Augsol 1000,Dabur Pharma,levocetirizine(400 mg),15 tablets,0.0
Clavds 250,Pfizer India,CLOPIDOGREL-1000mg,15 tablets,544.9
Panplus 10,Pfizer India,OMEPRAZOLE-10mg,15 tablets,201.79
Omesr 250,Torrent Pharma,Rabeprazole 200 mg,5 ml,0.0
Pansol 500,Cipla,Rosuvastatin (400mg),5 ml,504.82
Amoxforte 500,Alkem Labs,sertraline(10mg),1 bottle,366.69
Amoxod 40,Himalaya,Pantoprazole (100mg),10 tablets,545.55
Amoxod 250,Abbott India,domperidone(1000mg),10 tablets,479.37
Dolocin 10,Dr Reddy,gabapentin 10 mg,10 capsules,494.82
Azeeplus 20,Mankind Pharma,Tramadol 20 mg,6 tablets,486.45
Mettab 1000,Glenmark,fexofenadine 200 mg,5 ml,529.93
Dolocap 10,Sun Pharma,zinc sulphate 1000 mg,1 bottle,133.57
Mettab 500,Sun Pharma,calcium carbonate(200mg),10 capsules,434.28
Amoxsol 10,Sun Pharma,Sertraline 40  mg,10 tablets,417.54
Azeeforte 1000,Hetero Drugs,sertraline(400 mg),1 bottle,424.09
Azeecap 500,Lupin,azithromycin 5mg,6 tablets,136.1
Metforte 500,Alkem Labs,Clonazepam (100mg),30 tablets,186.94
Cetsr 250,Intas Pharma,amoxicillin(500mg),6 tablets,524.65
Augtab 250,Cipla,DICLOFENAC-250mg,30 tablets,245.22
Omesol 250,Himalaya,METFORMIN-20mg,30 tablets,338.38
Augplus 20,Aurobindo Pharma,zinc sulphate(400mg),1 bottle,594.1
Omecap 500,Alkem Labs,ZINC SULPHATE-10mg,30 tablets,
Amoxplus 40,Cipla,diclofenac 40 mg,15 tablets,516.89
Azeesol 40,Wockhardt,LOSARTAN-200mg,10 tablets,96.2
Clavplus 10,Dabur Pharma,metformin 40mg,6 tablets,81.62
Omeod 250,GSK India,telmisartan(5 mg),1 bottle,534.54
Panplus 20,Himalaya,IBUPROFEN-1000mg,10 capsules,31.82
Augtab 10,Himalaya,DICLOFENAC-200mg,1 bottle,213.99
Bruds 250,GSK India,Pantoprazole 250  mg,30 tablets,277.26
Brucin 500,Novartis India,Ondansetron (5 mg),1 bottle,314.92
Cetplus 10,Torrent Pharma,DICLOFENAC-500mg,10 capsules,
Pands 10,Intas Pharma,CALCIUM CARBONATE-400mg,10 capsules,63.18
Amoxds 40,GSK India,TRAMADOL-10mg,6 tablets,169.87
Metod 20,Zydus Cadila,aspirin(20 mg),1 bottle,449.81
Panplus 40,Torrent Pharma,levocetirizine(250 mg),5 ml,184.75
Doloforte 20,Novartis India,Fluoxetine 20 mg,1 bottle,459.62
Brucin 1000,Aurobindo Pharma,domperidone(400mg),15 tablets,448.87
Azeeod 1000,Cipla,Rabeprazole 20 mg,15 tablets,522.86
Cettab 10,Zydus Cadila,Clonazepam (20 mg),1 bottle,470.66
Dolosr 20,Novartis India,ondansetron 1000mg,1 bottle,29.25
Omesr 500,Wockhardt,Glimepiride (400mg),10 tablets,418.85
Cetsol 20,Hetero Drugs,metformin 100mg,1 bottle,251.93
Metsr 20,Aurobindo Pharma,ranitidine(1000mg),10 capsules,92.73
Azeecap 250,Intas Pharma,Losartan 250 mg,6 tablets,269.5
Brusr 250,Intas Pharma,Fexofenadine 200 mg,15 tablets,148.43
Clavcin 20,Torrent Pharma,Glimepiride 250 mg,10 tablets,449.14
Amoxcap 40,Alkem Labs,CIPROFLOXACIN-500mg,10 capsules,
Cettab 1000,Hetero Drugs,diclofenac(500mg),6 tablets,201.42
Cetplus 10,Sanofi India,gabapentin(500 mg),30 tablets,580.69
Metxr 20,Zydus Cadila,Azithromycin (20 mg),5 ml,
Amoxod 10,Hetero Drugs,Gabapentin 10 mg,6 tablets,494.87
Dolood 500,Dabur Pharma,Ciprofloxacin (40 mg),10 capsules,391.41
Panplus 10,Zydus Cadila,Montelukast (10 mg),10 tablets,76.74
Clavcap 10,Novartis India,rabeprazole 20 mg,1 bottle,395.71
Augsol 1000,Alkem Labs,telmisartan 500mg,1 bottle,66.82
Omesr 250,Torrent Pharma,Rosuvastatin 500 mg,15 tablets,400.36
Clavsol 250,Abbott India,ibuprofen 500mg,15 tablets,499.25
Amoxcap 500,Dabur Pharma,CIPROFLOXACIN-250mg,10 tablets,327.81
Metod 1000,Hetero Drugs,Ibuprofen (20mg),5 ml,17.34
Augforte 20,Dr Reddy,Levocetirizine (5 mg),1 bottle,359.45
Pancin 10,Intas Pharma,zinc sulphate(500mg),1 bottle,509.6
Cettab 500,Glenmark,Diclofenac (1000mg),10 capsules,170.81
Augds 20,Sanofi India,levothyroxine(1000 mg),30 tablets,262.68
Bruforte 10,Pfizer India,Pregabalin 5 mg,15 tablets,244.05
Augtab 250,Zydus Cadila,levothyroxine 200mg,6 tablets,500.41
Azeeds 1000,Cipla,esomeprazole(20mg),10 capsules,404.65
Dolotab 20,Dabur Pharma,fexofenadine 500mg,30 tablets,308.39
Amoxod 500,Hetero Drugs,cetirizine(500 mg),10 tablets,485.88
Amoxcin 500,Dabur Pharma,Zinc Sulphate (400 mg),6 tablets,169.78
Brutab 500,Zydus Cadila,ROSUVASTATIN-250mg,10 capsules,446.65
Dolocap 1000,Wockhardt,Clonazepam 5 mg,1 bottle,192.49
Clavcin 40,Zydus Cadila,Calcium Carbonate (1000mg),15 tablets,56.3
Azeetab 1000,Torrent Pharma,Calcium carbonate 20  mg,15 tablets,262.51
Bruod 250,Cipla,fluoxetine 5 mg,15 tablets,12.55
Pansr 40,Glenmark,amlodipine 200mg,10 tablets,262.95
Brucin 10,Hetero Drugs,ciprofloxacin(5 mg),10 tablets,19.09
Bruplus 250,Aurobindo Pharma,methylcobalamin(10 mg),6 tablets,247.78
Omesol 10,Dr Reddy,zinc sulphate 20 mg,1 bottle,356.61
Cettab 20,Glenmark,MONTELUKAST-250mg,5 ml,382.87
Cetplus 500,Abbott India,ROSUVASTATIN-500mg,10 tablets,110.71
Clavod 10,Pfizer India,Atorvastatin 40 mg,5 ml,411.23
Omesr 10,Zydus Cadila,zinc sulphate 250 mg,1 bottle,381.78
Augcin 250,Intas Pharma,Rosuvastatin (5 mg),1 bottle,226.29
Azeecin 10,Pfizer India,Omeprazole 5  mg,10 capsules,546.16
Augtab 1000,Zydus Cadila,calcium carbonate(40 mg),10 tablets,589.57
Azeeod 500,Pfizer India,Amoxicillin 400 mg,10 capsules,223.43
Omeds 40,Dr Reddy,clopidogrel 500mg,30 tablets,236.85
Cetforte 1000,Dr Reddy,calcium carbonate 20mg,10 capsules,580.88
Dolocap 40,Novartis India,calcium carbonate 1000mg,1 bottle,424.08
Panforte 1000,Sanofi India,Clonazepam 1000 mg,30 tablets,114.72
Omeplus 250,Zydus Cadila,FLUOXETINE-5mg,15 tablets,308.55
Clavxr 500,Dabur Pharma,clonazepam 500mg,15 tablets,104.05
Metsr 20,Wockhardt,Pantoprazole (20 mg),30 tablets,176.68
Metforte 40,GSK India,gabapentin 400mg,5 ml,568.7
Cetsol 20,Sanofi India,glimepiride(1000 mg),1 bottle,89.93
Omeplus 250,Sanofi India,Esomeprazole (400 mg),5 ml,459.77
Augforte 250,Abbott India,Metoprolol (10 mg),5 ml,253.62
Dolotab 40,Abbott India,rabeprazole 1000mg,10 tablets,392.78
Clavcin 250,GSK India,GLIMEPIRIDE-40mg,1 bottle,19.25
Amoxsol 1000,Lupin,Calcium carbonate 5  mg,5 ml,80.13
Augod 20,Lupin,Zinc Sulphate (20 mg),5 ml,17.73
Dolosol 20,Sun Pharma,Metoprolol 100 mg,10 capsules,254.61
Azeeds 250,Novartis India,esomeprazole(1000mg),10 capsules,239.15
Omeforte 500,Hetero Drugs,Esomeprazole (200mg),5 ml,441.9
Dolocap 40,Hetero Drugs,Clopidogrel (20mg),10 capsules,283.06
Metcin 500,Cipla,Amlodipine 1000 mg,30 tablets,532.39
Metplus 1000,Torrent Pharma,Ondansetron 400  mg,10 tablets,0.0
Brusr 10,Hetero Drugs,Clopidogrel (200mg),1 bottle,208.71
Brutab 10,Dr Reddy,esomeprazole 5 mg,6 tablets,364.65
Amoxplus 10,Glenmark,Levothyroxine (10mg),6 tablets,364.75
Bruplus 40,Hetero Drugs,Rosuvastatin (20 mg),10 capsules,588.18
Cetod 40,Mankind Pharma,ondansetron(500 mg),10 tablets,0.0
Clavcin 20,Hetero Drugs,atorvastatin 400mg,1 bottle,98.84
Doloxr 1000,Zydus Cadila,diclofenac(1000mg),10 capsules,392.54
Omeplus 1000,Aurobindo Pharma,ranitidine(40 mg),10 capsules,424.79
Omesr 500,Zydus Cadila,Fluoxetine (5mg),5 ml,540.02
Amoxplus 500,Novartis India,Levothyroxine (500 mg),10 capsules,429.39
Cetsol 10,Lupin,ESOMEPRAZOLE-5mg,15 tablets,23.56
Amoxxr 40,Dr Reddy,pregabalin(20mg),10 tablets,433.57
Omesr 10,Glenmark,METHYLCOBALAMIN-1000mg,6 tablets,410.62
Azeecin 250,Zydus Cadila,PREGABALIN-200mg,1 bottle,314.72
Omeplus 500,Intas Pharma,ciprofloxacin(500 mg),5 ml,383.95
Cetod 20,Sanofi India,Montelukast (400 mg),6 tablets,99.28
Pantab 250,Cipla,calcium carbonate(250 mg),5 ml,569.54
Pansr 40,Dabur Pharma,Doxycycline 200  mg,6 tablets,330.98
Pancap 10,Pfizer India,aspirin 1000 mg,10 tablets,254.05
Cetforte 20,Hetero Drugs,metoprolol 250 mg,1 bottle,340.5
Panplus 10,Zydus Cadila,TELMISARTAN-20mg,10 tablets,519.58
Cetsr 20,Glenmark,pantoprazole(250 mg),15 tablets,284.35
Metod 1000,Pfizer India,omeprazole(1000 mg),15 tablets,36.81
Omexr 500,Sun Pharma,sertraline(100mg),5 ml,530.41
Azeesol 1000,Cipla,Esomeprazole 500 mg,10 capsules,335.51
Cettab 10,Dabur Pharma,pregabalin(200mg),10 tablets,228.93
Bruds 250,Dabur Pharma,ESOMEPRAZOLE-20mg,10 capsules,34.82
Azeecap 1000,Zydus Cadila,Sertraline 5  mg,10 capsules,559.37
Azeeds 10,Glenmark,zinc sulphate(100mg),10 capsules,427.57
Amoxcin 20,Wockhardt,Esomeprazole (250 mg),10 capsules,288.96
Augcap 20,Cipla,VITAMIN D3-200mg,10 capsules,380.38
Omesol 250,Himalaya,Metoprolol (400mg),6 tablets,269.09
Pancap 20,Dabur Pharma,doxycycline(10 mg),1 bottle,130.75
Azeeforte 20,Mankind Pharma,clonazepam 1000 mg,1 bottle,217.74
Azeeplus 500,Abbott India,LOSARTAN-40mg,30 tablets,565.36
Azeeplus 1000,GSK India,doxycycline 40 mg,30 tablets,80.15
Amoxtab 1000,Intas Pharma,ONDANSETRON-500mg,10 tablets,555.01
Amoxcap 250,Torrent Pharma,doxycycline(5mg),10 capsules,372.48
Bruforte 40,Cipla,CLONAZEPAM-400mg,10 tablets,287.66
Metplus 1000,GSK India,Pregabalin 40 mg,1 bottle,0.0
Pancap 10,Novartis India,OMEPRAZOLE-200mg,6 tablets,530.29
Panplus 20,Intas Pharma,ONDANSETRON-40mg,10 tablets,364.85
Azeesr 1000,GSK India,tramadol(400 mg),15 tablets,122.14
Doloplus 20,Sun Pharma,TRAMADOL-200mg,6 tablets,407.25
Brutab 500,Glenmark,ondansetron(10 mg),10 tablets,589.16
Amoxforte 1000,Abbott India,Paracetamol 200 mg,1 bottle,352.82
Amoxcap 10,Lupin,Esomeprazole (400mg),1 bottle,414.16
Metsol 500,Hetero Drugs,montelukast 10mg,10 capsules,291.08
Azeesol 500,GSK India,esomeprazole(10 mg),5 ml,410.76
Clavtab 250,Hetero Drugs,clonazepam(20 mg),10 tablets,498.63
Azeesr 250,Glenmark,GABAPENTIN-20mg,5 ml,410.73
Azeexr 10,Pfizer India,Alprazolam (20 mg),15 tablets,341.84
Pansol 20,Torrent Pharma,Montelukast 250 mg,5 ml,51.23
Amoxxr 500,GSK India,Gabapentin (500mg),10 tablets,463.23
Bruxr 250,Pfizer India,Levocetirizine 500  mg,5 ml,412.18
Azeecap 40,Novartis India,ROSUVASTATIN-10mg,1 bottle,587.4
Brusol 500,Wockhardt,montelukast(20 mg),10 capsules,280.69
Pansol 500,Dabur Pharma,Azithromycin 500 mg,5 ml,47.84
Metds 500,Aurobindo Pharma,Metformin (400mg),1 bottle,454.6
Clavforte 500,Glenmark,glimepiride(400mg),10 capsules,186.64
Azeeod 40,Torrent Pharma,ciprofloxacin 10 mg,10 tablets,547.65
Azeeforte 40,Aurobindo Pharma,fluoxetine 500mg,5 ml,254.46
Cetsr 250,Abbott India,GABAPENTIN-40mg,30 tablets,340.93
Dolotab 10,Torrent Pharma,AMLODIPINE-1000mg,15 tablets,509.5
Clavod 250,Aurobindo Pharma,domperidone 500mg,6 tablets,525.18
Doloplus 250,Alkem Labs,Pregabalin 5 mg,5 ml,133.39
Metds 1000,Alkem Labs,sertraline(400mg),1 bottle,467.1
Augsr 250,Hetero Drugs,rosuvastatin 100mg,10 capsules,483.27
Panod 500,Glenmark,levothyroxine 5mg,1 bottle,0.0
Cetsol 1000,Wockhardt,pregabalin(200 mg),30 tablets,144.17
Augsr 500,GSK India,pregabalin 250 mg,6 tablets,441.8
Pands 250,Novartis India,GABAPENTIN-40mg,6 tablets,504.73
Mettab 40,Zydus Cadila,Metformin 250 mg,5 ml,97.41
Azeeds 10,Sun Pharma,Metformin 40  mg,10 tablets,15.02
Cettab 250,Wockhardt,glimepiride(250mg),5 ml,318.44
Doloxr 10,Aurobindo Pharma,losartan 500 mg,10 tablets,342.48
Bruds 10,Aurobindo Pharma,Omeprazole (500mg),1 bottle,0.0
Dolood 250,Wockhardt,Pantoprazole 1000 mg,6 tablets,537.72
Amoxds 20,Cipla,methylcobalamin 40 mg,10 tablets,397.6
Brutab 1000,Zydus Cadila,ibuprofen(5mg),5 ml,104.17
Cettab 20,Aurobindo Pharma,rabeprazole 400 mg,5 ml,449.31
Clavod 10,Dabur Pharma,ciprofloxacin 1000mg,5 ml,581.6
Bruxr 500,Hetero Drugs,DICLOFENAC-40mg,10 capsules,410.38
Amoxcap 10,Dr Reddy,ZINC SULPHATE-100mg,10 tablets,429.31
Amoxsr 1000,Dr Reddy,Levothyroxine (500 mg),10 tablets,458.72
Brutab 250,Novartis India,fexofenadine(20 mg),10 capsules,61.05
Brutab 40,Intas Pharma,Levothyroxine (1000 mg),1 bottle,541.47
Cetplus 1000,Aurobindo Pharma,METHYLCOBALAMIN-5mg,15 tablets,166.9
Omeforte 1000,GSK India,telmisartan 10 mg,5 ml,566.98
Amoxcin 10,Lupin,Zinc sulphate 5 mg,15 tablets,204.67
Clavcap 1000,Wockhardt,clopidogrel 20 mg,5 ml,197.83
Augod 500,Glenmark,Levothyroxine 40 mg,30 tablets,200.92
Azeecap 40,Alkem Labs,esomeprazole(10mg),10 capsules,0.0
Omexr 40,Intas Pharma,Tramadol 5 mg,5 ml,303.59
Clavsr 20,Dr Reddy,Metoprolol 10  mg,1 bottle,245.28
Azeeod 40,Hetero Drugs,Levocetirizine (400 mg),6 tablets,549.33
Bruforte 10,Cipla,rosuvastatin(40mg),10 capsules,70.72
Augforte 10,Himalaya,clonazepam(400 mg),15 tablets,282.13
Amoxxr 250,GSK India,Metoprolol (500 mg),10 tablets,76.71
Augforte 10,Alkem Labs,Montelukast 250  mg,10 capsules,65.79
Dolotab 40,Lupin,Atorvastatin (100mg),10 tablets,481.63
Azeexr 10,Mankind Pharma,clonazepam(40mg),30 tablets,145.26
Augod 10,Dabur Pharma,Fexofenadine (1000 mg),15 tablets,238.19
Doloforte 500,Novartis India,Atorvastatin (200 mg),15 tablets,278.87
Bruod 250,Aurobindo Pharma,clonazepam(250 mg),10 capsules,213.97
Omesol 1000,Zydus Cadila,Montelukast (200 mg),30 tablets,77.23
Bruxr 500,Zydus Cadila,rabeprazole(10 mg),10 capsules,296.11
Cetcap 1000,GSK India,RANITIDINE-400mg,30 tablets,506.46
Bruds 20,Alkem Labs,PARACETAMOL-40mg,5 ml,394.62
Pansol 1000,Dr Reddy,DICLOFENAC-40mg,10 capsules,27.36
Omeod 250,Novartis India,Tramadol 200  mg,10 capsules,166.59
Brutab 40,Novartis India,Gabapentin 500 mg,15 tablets,499.4
Omesr 250,Hetero Drugs,amoxicillin 20 mg,5 ml,467.17
Clavcap 500,Wockhardt,vitamin d3(500 mg),15 tablets,489.61
Doloplus 1000,Novartis India,gabapentin(200mg),15 tablets,347.06
Cetcap 500,Cipla,Cetirizine 20 mg,30 tablets,94.58
Amoxxr 10,Himalaya,ONDANSETRON-40mg,6 tablets,275.58
Dolosr 10,Torrent Pharma,omeprazole(1000 mg),6 tablets,0.0
Azeexr 500,Dr Reddy,omeprazole 20 mg,5 ml,581.13
Cetod 10,Novartis India,levothyroxine 100mg,10 capsules,474.68
Cetsr 10,Sun Pharma,Amoxicillin 10 mg,10 tablets,8.4
Doloplus 250,Torrent Pharma,AMLODIPINE-100mg,10 tablets,228.13
Ometab 250,Wockhardt,ONDANSETRON-100mg,6 tablets,134.35
Dolotab 10,Sun Pharma,Clonazepam (20 mg),6 tablets,418.87
Amoxcap 10,Glenmark,Omeprazole (10mg),30 tablets,465.89
Clavcap 10,Himalaya,metoprolol(1000mg),10 tablets,215.9
Cettab 20,Dr Reddy,LEVOCETIRIZINE-20mg,10 tablets,440.17
Azeeod 20,Dr Reddy,amlodipine 400mg,15 tablets,434.94
Azeesol 40,Sanofi India,IBUPROFEN-100mg,10 capsules,239.92
Augod 250,Lupin,Aspirin 40  mg,15 tablets,320.75
Dolods 40,Himalaya,Levothyroxine 20 mg,1 bottle,110.28
Amoxsol 250,Dr Reddy,atorvastatin(250mg),10 tablets,554.17
Brutab 40,Wockhardt,Glimepiride 5  mg,6 tablets,325.65
Cetds 1000,Alkem Labs,montelukast(1000mg),5 ml,239.31
Mettab 10,Abbott India,Atorvastatin 100 mg,10 tablets,76.66
Pancap 10,Zydus Cadila,Ranitidine (10mg),6 tablets,572.19
Amoxtab 250,Zydus Cadila,losartan 40mg,6 tablets,206.33
Azeeforte 250,GSK India,Losartan (200 mg),1 bottle,303.77
Azeecin 250,Lupin,losartan(10mg),15 tablets,0.0
Cetcin 20,Aurobindo Pharma,amoxicillin 40 mg,15 tablets,483.44
Doloplus 250,Wockhardt,CIPROFLOXACIN-250mg,6 tablets,346.35
Brutab 10,Sanofi India,METFORMIN-40mg,10 tablets,520.69
Metplus 20,Sun Pharma,Omeprazole 400  mg,30 tablets,472.43
Azeesol 500,Alkem Labs,Esomeprazole 200  mg,6 tablets,11.78
Bruplus 250,Sun Pharma,rosuvastatin 250mg,5 ml,129.48
Metds 10,Dr Reddy,metformin 20mg,10 tablets,422.9
Brutab 20,Sanofi India,Omeprazole (200 mg),15 tablets,344.15
Bruforte 1000,Glenmark,aspirin 100mg,5 ml,276.03
Cetsr 10,Zydus Cadila,Amlodipine (200 mg),10 tablets,193.91
Ometab 500,Pfizer India,doxycycline 20 mg,30 tablets,486.1
Omesol 1000,Glenmark,CALCIUM CARBONATE-500mg,15 tablets,0.0
Augds 40,Sun Pharma,MONTELUKAST-200mg,1 bottle,333.67
Metcap 500,Cipla,Amlodipine (10mg),5 ml,495.61
Omecin 250,Torrent Pharma,omeprazole(200 mg),5 ml,125.07
Pancap 20,Cipla,Omeprazole (250 mg),1 bottle,264.43
Cetplus 1000,Hetero Drugs,RABEPRAZOLE-10mg,15 tablets,272.04
Azeesr 250,GSK India,zinc sulphate 400mg,1 bottle,59.93
Dolosr 20,Sun Pharma,clonazepam(400mg),1 bottle,470.61
Dolood 500,Mankind Pharma,levothyroxine 1000 mg,10 tablets,25.35
Cettab 500,Himalaya,sertraline 5 mg,15 tablets,396.86
Cetcap 500,Aurobindo Pharma,metformin(400mg),30 tablets,358.77
Cetod 500,Himalaya,vitamin d3 250mg,10 capsules,503.32
Omecin 500,GSK India,GABAPENTIN-100mg,10 tablets,0.0
Cetforte 40,Dabur Pharma,sertraline 250mg,15 tablets,113.06
Cettab 20,Himalaya,METFORMIN-250mg,6 tablets,517.52
Dolocap 500,Glenmark,Ondansetron (200 mg),30 tablets,441.55
Clavforte 500,Novartis India,FLUOXETINE-250mg,6 tablets,401.99
Clavxr 20,Sun Pharma,GLIMEPIRIDE-20mg,6 tablets,27.17
Cetforte 40,Lupin,zinc sulphate(400mg),1 bottle,54.06
Metsol 40,Sun Pharma,Omeprazole 250  mg,30 tablets,48.13
Brucap 10,Pfizer India,Paracetamol 500 mg,6 tablets,299.9
Augtab 250,Abbott India,cetirizine(40 mg),15 tablets,182.59
Omeds 250,Aurobindo Pharma,ATORVASTATIN-250mg,15 tablets,208.07
Cetcin 250,Dabur Pharma,IBUPROFEN-10mg,1 bottle,204.01
Mettab 250,Intas Pharma,pregabalin 400 mg,30 tablets,240.6
Amoxod 10,Wockhardt,Metformin (500 mg),10 tablets,0.0
Omeplus 10,GSK India,Pantoprazole (100mg),5 ml,286.8
Dolocap 10,Hetero Drugs,GABAPENTIN-1000mg,1 bottle,34.41
Ometab 40,Zydus Cadila,Telmisartan (200 mg),5 ml,211.52
Bruds 10,Cipla,vitamin d3(400mg),5 ml,579.65
Brucin 20,Intas Pharma,Methylcobalamin 400 mg,10 tablets,346.16
Cetsol 500,Pfizer India,Zinc Sulphate (20mg),15 tablets,82.7
Dolotab 250,Dabur Pharma,FEXOFENADINE-5mg,30 tablets,237.75
Clavod 20,Sun Pharma,Telmisartan 5  mg,5 ml,470.76
Clavtab 1000,Lupin,methylcobalamin(200 mg),10 tablets,521.55
Augcin 500,Himalaya,Losartan 1000  mg,10 capsules,171.05
Metcin 40,Glenmark,Ondansetron 500 mg,6 tablets,289.33
Augtab 500,Torrent Pharma,clopidogrel 100mg,5 ml,87.56
Omesol 10,Dabur Pharma,Levothyroxine 200 mg,6 tablets,133.14
Cettab 1000,Sanofi India,Clonazepam (500 mg),5 ml,428.07
Metcin 500,Mankind Pharma,Clonazepam (200 mg),15 tablets,0.0
Augds 10,Hetero Drugs,esomeprazole 5mg,5 ml,
Augod 20,Pfizer India,esomeprazole(40 mg),15 tablets,215.06
Cetod 500,Aurobindo Pharma,Omeprazole (100mg),10 tablets,515.41
Pansr 500,Sun Pharma,telmisartan(10 mg),5 ml,
Dolosr 1000,Wockhardt,losartan 100mg,1 bottle,137.18
Azeeforte 20,Lupin,zinc sulphate(1000 mg),10 tablets,391.23
Doloplus 1000,Glenmark,Cetirizine (40 mg),30 tablets,396.42
Clavxr 40,Abbott India,domperidone(20mg),10 tablets,
Brucin 20,Wockhardt,fluoxetine 100mg,1 bottle,427.18
Amoxcap 40,Hetero Drugs,Ciprofloxacin 400  mg,10 capsules,526.88
Dolotab 500,Mankind Pharma,amlodipine(200mg),6 tablets,218.33
Augtab 10,Himalaya,clopidogrel 500 mg,30 tablets,39.78
Omexr 20,Alkem Labs,Zinc sulphate 1000 mg,10 capsules,0.0
Clavsr 500,Glenmark,METOPROLOL-20mg,1 bottle,195.3
Pancin 10,Glenmark,FLUOXETINE-250mg,6 tablets,169.93
Bruxr 10,Zydus Cadila,Pantoprazole (40 mg),10 capsules,
Azeesol 250,Sun Pharma,gabapentin 5mg,30 tablets,408.63
Azeeod 1000,Lupin,ROSUVASTATIN-100mg,1 bottle,106.88
Doloxr 40,Dabur Pharma,glimepiride(20 mg),10 capsules,597.32
Metsol 40,Aurobindo Pharma,ROSUVASTATIN-5mg,10 tablets,
Panxr 40,Hetero Drugs,Alprazolam (40mg),6 tablets,159.43
Omexr 10,Cipla,Metformin (10mg),6 tablets,233.11
Omeds 1000,Intas Pharma,Metoprolol (5mg),1 bottle,376.7
Ometab 10,Lupin,cetirizine(5 mg),30 tablets,125.6
Cetcin 20,Wockhardt,clonazepam 5mg,30 tablets,301.84
