medicine_name,manufacturer,composition,packaging,price,cleaned_composition,manufacturer_enc
Azeecap 250,Intas Pharma,Losartan 250 mg,6 tablets,269.5,losartan 250mg,10
Brusr 250,Intas Pharma,Fexofenadine 200 mg,15 tablets,148.43,fexofenadine 200mg,10
Clavcin 20,Torrent Pharma,Glimepiride 250 mg,10 tablets,449.14,glimepiride 250mg,17
Cettab 1000,Hetero Drugs,diclofenac(500mg),6 tablets,201.42,diclofenac 500mg,8
Cetplus 10,Sanofi India,gabapentin(500 mg),30 tablets,580.69,gabapentin 500mg,15
Amoxod 10,Hetero Drugs,Gabapentin 10 mg,6 tablets,494.87,gabapentin 10mg,8
Dolood 500,Dabur Pharma,Ciprofloxacin (40 mg),10 capsules,391.41,ciprofloxacin 40mg,4
Panplus 10,Zydus Cadila,Montelukast (10 mg),10 tablets,76.74,montelukast 10mg,19
Clavcap 10,Novartis India,rabeprazole 20 mg,1 bottle,395.71,rabeprazole 20mg,13
Augsol 1000,Alkem Labs,telmisartan 500mg,1 bottle,66.82,telmisartan 500mg,1
Omesr 250,Torrent Pharma,Rosuvastatin 500 mg,15 tablets,400.36,rosuvastatin 500mg,17
Clavsol 250,Abbott India,ibuprofen 500mg,15 tablets,499.25,ibuprofen 500mg,0
Amoxcap 500,Dabur Pharma,CIPROFLOXACIN-250mg,10 tablets,327.81,ciprofloxacin 250mg,4
Metod 1000,Hetero Drugs,Ibuprofen (20mg),5 ml,17.34,ibuprofen 20mg,8
Augforte 20,Dr Reddy,Levocetirizine (5 mg),1 bottle,359.45,levocetirizine 5mg,5
Pancin 10,Intas Pharma,zinc sulphate(500mg),1 bottle,509.6,zinc sulphate 500mg,10
Cettab 500,Glenmark,Diclofenac (1000mg),10 capsules,170.81,diclofenac 1000mg,7
Augds 20,Sanofi India,levothyroxine(1000 mg),30 tablets,262.68,levothyroxine 1000mg,15
Bruforte 10,Pfizer India,Pregabalin 5 mg,15 tablets,244.05,pregabalin 5mg,14
Augtab 250,Zydus Cadila,levothyroxine 200mg,6 tablets,500.41,levothyroxine 200mg,19
Azeeds 1000,Cipla,esomeprazole(20mg),10 capsules,404.65,esomeprazole 20mg,3
Dolotab 20,Dabur Pharma,fexofenadine 500mg,30 tablets,308.39,fexofenadine 500mg,4
Amoxod 500,Hetero Drugs,cetirizine(500 mg),10 tablets,485.88,cetirizine 500mg,8
Amoxcin 500,Dabur Pharma,Zinc Sulphate (400 mg),6 tablets,169.78,zinc sulphate 400mg,4
Brutab 500,Zydus Cadila,ROSUVASTATIN-250mg,10 capsules,446.65,rosuvastatin 250mg,19
Dolocap 1000,Wockhardt,Clonazepam 5 mg,1 bottle,192.49,clonazepam 5mg,18
Clavcin 40,Zydus Cadila,Calcium Carbonate (1000mg),15 tablets,56.3,calcium carbonate 1000mg,19
Azeetab 1000,Torrent Pharma,Calcium carbonate 20  mg,15 tablets,262.51,calcium carbonate 20mg,17
Bruod 250,Cipla,fluoxetine 5 mg,15 tablets,12.55,fluoxetine 5mg,3
Pansr 40,Glenmark,amlodipine 200mg,10 tablets,262.95,amlodipine 200mg,7
Brucin 10,Hetero Drugs,ciprofloxacin(5 mg),10 tablets,19.09,ciprofloxacin 5mg,8
Bruplus 250,Aurobindo Pharma,methylcobalamin(10 mg),6 tablets,247.78,methylcobalamin 10mg,2
Omesol 10,Dr Reddy,zinc sulphate 20 mg,1 bottle,356.61,zinc sulphate 20mg,5
Cettab 20,Glenmark,MONTELUKAST-250mg,5 ml,382.87,montelukast 250mg,7
Cetplus 500,Abbott India,ROSUVASTATIN-500mg,10 tablets,110.71,rosuvastatin 500mg,0
Clavod 10,Pfizer India,Atorvastatin 40 mg,5 ml,411.23,atorvastatin 40mg,14
Omesr 10,Zydus Cadila,zinc sulphate 250 mg,1 bottle,381.78,zinc sulphate 250mg,19
Augcin 250,Intas Pharma,Rosuvastatin (5 mg),1 bottle,226.29,rosuvastatin 5mg,10
Azeecin 10,Pfizer India,Omeprazole 5  mg,10 capsules,546.16,omeprazole 5mg,14
Augtab 1000,Zydus Cadila,calcium carbonate(40 mg),10 tablets,589.57,calcium carbonate 40mg,19
Azeeod 500,Pfizer India,Amoxicillin 400 mg,10 capsules,223.43,amoxicillin 400mg,14
Omeds 40,Dr Reddy,clopidogrel 500mg,30 tablets,236.85,clopidogrel 500mg,5
Cetforte 1000,Dr Reddy,calcium carbonate 20mg,10 capsules,580.88,calcium carbonate 20mg,5
Dolocap 40,Novartis India,calcium carbonate 1000mg,1 bottle,424.08,calcium carbonate 1000mg,13
Panforte 1000,Sanofi India,Clonazepam 1000 mg,30 tablets,114.72,clonazepam 1000mg,15
Omeplus 250,Zydus Cadila,FLUOXETINE-5mg,15 tablets,308.55,fluoxetine 5mg,19
Clavxr 500,Dabur Pharma,clonazepam 500mg,15 tablets,104.05,clonazepam 500mg,4
Metsr 20,Wockhardt,Pantoprazole (20 mg),30 tablets,176.68,pantoprazole 20mg,18
Metforte 40,GSK India,gabapentin 400mg,5 ml,568.7,gabapentin 400mg,6
Cetsol 20,Sanofi India,glimepiride(1000 mg),1 bottle,89.93,glimepiride 1000mg,15
Omeplus 250,Sanofi India,Esomeprazole (400 mg),5 ml,459.77,esomeprazole 400mg,15
Augforte 250,Abbott India,Metoprolol (10 mg),5 ml,253.62,metoprolol 10mg,0
Dolotab 40,Abbott India,rabeprazole 1000mg,10 tablets,392.78,rabeprazole 1000mg,0
Clavcin 250,GSK India,GLIMEPIRIDE-40mg,1 bottle,19.25,glimepiride 40mg,6
Amoxsol 1000,Lupin,Calcium carbonate 5  mg,5 ml,80.13,calcium carbonate 5mg,11
Augod 20,Lupin,Zinc Sulphate (20 mg),5 ml,17.73,zinc sulphate 20mg,11
Dolosol 20,Sun Pharma,Metoprolol 100 mg,10 capsules,254.61,metoprolol 100mg,16
Azeeds 250,Novartis India,esomeprazole(1000mg),10 capsules,239.15,esomeprazole 1000mg,13
Omeforte 500,Hetero Drugs,Esomeprazole (200mg),5 ml,441.9,esomeprazole 200mg,8
Dolocap 40,Hetero Drugs,Clopidogrel (20mg),10 capsules,283.06,clopidogrel 20mg,8
Metcin 500,Cipla,Amlodipine 1000 mg,30 tablets,532.39,amlodipine 1000mg,3
Brusr 10,Hetero Drugs,Clopidogrel (200mg),1 bottle,208.71,clopidogrel 200mg,8
Brutab 10,Dr Reddy,esomeprazole 5 mg,6 tablets,364.65,esomeprazole 5mg,5
Amoxplus 10,Glenmark,Levothyroxine (10mg),6 tablets,364.75,levothyroxine 10mg,7
Bruplus 40,Hetero Drugs,Rosuvastatin (20 mg),10 capsules,588.18,rosuvastatin 20mg,8
Clavcin 20,Hetero Drugs,atorvastatin 400mg,1 bottle,98.84,atorvastatin 400mg,8
Doloxr 1000,Zydus Cadila,diclofenac(1000mg),10 capsules,392.54,diclofenac 1000mg,19
Omeplus 1000,Aurobindo Pharma,ranitidine(40 mg),10 capsules,424.79,ranitidine 40mg,2
Omesr 500,Zydus Cadila,Fluoxetine (5mg),5 ml,540.02,fluoxetine 5mg,19
Amoxplus 500,Novartis India,Levothyroxine (500 mg),10 capsules,429.39,levothyroxine 500mg,13
Cetsol 10,Lupin,ESOMEPRAZOLE-5mg,15 tablets,23.56,esomeprazole 5mg,11
Amoxxr 40,Dr Reddy,pregabalin(20mg),10 tablets,433.57,pregabalin 20mg,5
Omesr 10,Glenmark,METHYLCOBALAMIN-1000mg,6 tablets,410.62,methylcobalamin 1000mg,7
Azeecin 250,Zydus Cadila,PREGABALIN-200mg,1 bottle,314.72,pregabalin 200mg,19
Omeplus 500,Intas Pharma,ciprofloxacin(500 mg),5 ml,383.95,ciprofloxacin 500mg,10
Cetod 20,Sanofi India,Montelukast (400 mg),6 tablets,99.28,montelukast 400mg,15
Pantab 250,Cipla,calcium carbonate(250 mg),5 ml,569.54,calcium carbonate 250mg,3
Pansr 40,Dabur Pharma,Doxycycline 200  mg,6 tablets,330.98,doxycycline 200mg,4
Pancap 10,Pfizer India,aspirin 1000 mg,10 tablets,254.05,aspirin 1000mg,14
Cetforte 20,Hetero Drugs,metoprolol 250 mg,1 bottle,340.5,metoprolol 250mg,8
Panplus 10,Zydus Cadila,TELMISARTAN-20mg,10 tablets,519.58,telmisartan 20mg,19
Cetsr 20,Glenmark,pantoprazole(250 mg),15 tablets,284.35,pantoprazole 250mg,7
Metod 1000,Pfizer India,omeprazole(1000 mg),15 tablets,36.81,omeprazole 1000mg,14
Omexr 500,Sun Pharma,sertraline(100mg),5 ml,530.41,sertraline 100mg,16
Azeesol 1000,Cipla,Esomeprazole 500 mg,10 capsules,335.51,esomeprazole 500mg,3
Cettab 10,Dabur Pharma,pregabalin(200mg),10 tablets,228.93,pregabalin 200mg,4
Bruds 250,Dabur Pharma,ESOMEPRAZOLE-20mg,10 capsules,34.82,esomeprazole 20mg,4
Azeecap 1000,Zydus Cadila,Sertraline 5  mg,10 capsules,559.37,sertraline 5mg,19
Azeeds 10,Glenmark,zinc sulphate(100mg),10 capsules,427.57,zinc sulphate 100mg,7
Amoxcin 20,Wockhardt,Esomeprazole (250 mg),10 capsules,288.96,esomeprazole 250mg,18
Augcap 20,Cipla,VITAMIN D3-200mg,10 capsules,380.38,vitamin d3 200mg,3
Omesol 250,Himalaya,Metoprolol (400mg),6 tablets,269.09,metoprolol 400mg,9
Pancap 20,Dabur Pharma,doxycycline(10 mg),1 bottle,130.75,doxycycline 10mg,4
Azeeforte 20,Mankind Pharma,clonazepam 1000 mg,1 bottle,217.74,clonazepam 1000mg,12
Azeeplus 500,Abbott India,LOSARTAN-40mg,30 tablets,565.36,losartan 40mg,0
Azeeplus 1000,GSK India,doxycycline 40 mg,30 tablets,80.15,doxycycline 40mg,6
Amoxtab 1000,Intas Pharma,ONDANSETRON-500mg,10 tablets,555.01,ondansetron 500mg,10
Amoxcap 250,Torrent Pharma,doxycycline(5mg),10 capsules,372.48,doxycycline 5mg,17
Bruforte 40,Cipla,CLONAZEPAM-400mg,10 tablets,287.66,clonazepam 400mg,3
Pancap 10,Novartis India,OMEPRAZOLE-200mg,6 tablets,530.29,omeprazole 200mg,13
Panplus 20,Intas Pharma,ONDANSETRON-40mg,10 tablets,364.85,ondansetron 40mg,10
Azeesr 1000,GSK India,tramadol(400 mg),15 tablets,122.14,tramadol 400mg,6
Doloplus 20,Sun Pharma,TRAMADOL-200mg,6 tablets,407.25,tramadol 200mg,16
Brutab 500,Glenmark,ondansetron(10 mg),10 tablets,589.16,ondansetron 10mg,7
Amoxforte 1000,Abbott India,Paracetamol 200 mg,1 bottle,352.82,paracetamol 200mg,0
Amoxcap 10,Lupin,Esomeprazole (400mg),1 bottle,414.16,esomeprazole 400mg,11
Metsol 500,Hetero Drugs,montelukast 10mg,10 capsules,291.08,montelukast 10mg,8
Azeesol 500,GSK India,esomeprazole(10 mg),5 ml,410.76,esomeprazole 10mg,6
Clavtab 250,Hetero Drugs,clonazepam(20 mg),10 tablets,498.63,clonazepam 20mg,8
Azeesr 250,Glenmark,GABAPENTIN-20mg,5 ml,410.73,gabapentin 20mg,7
Azeexr 10,Pfizer India,Alprazolam (20 mg),15 tablets,341.84,alprazolam 20mg,14
Pansol 20,Torrent Pharma,Montelukast 250 mg,5 ml,51.23,montelukast 250mg,17
Amoxxr 500,GSK India,Gabapentin (500mg),10 tablets,463.23,gabapentin 500mg,6
Bruxr 250,Pfizer India,Levocetirizine 500  mg,5 ml,412.18,levocetirizine 500mg,14
Azeecap 40,Novartis India,ROSUVASTATIN-10mg,1 bottle,587.4,rosuvastatin 10mg,13
Brusol 500,Wockhardt,montelukast(20 mg),10 capsules,280.69,montelukast 20mg,18
Pansol 500,Dabur Pharma,Azithromycin 500 mg,5 ml,47.84,azithromycin 500mg,4
Metds 500,Aurobindo Pharma,Metformin (400mg),1 bottle,454.6,metformin 400mg,2
Clavforte 500,Glenmark,glimepiride(400mg),10 capsules,186.64,glimepiride 400mg,7
Azeeod 40,Torrent Pharma,ciprofloxacin 10 mg,10 tablets,547.65,ciprofloxacin 10mg,17
Azeeforte 40,Aurobindo Pharma,fluoxetine 500mg,5 ml,254.46,fluoxetine 500mg,2
Cetsr 250,Abbott India,GABAPENTIN-40mg,30 tablets,340.93,gabapentin 40mg,0
Dolotab 10,Torrent Pharma,AMLODIPINE-1000mg,15 tablets,509.5,amlodipine 1000mg,17
Clavod 250,Aurobindo Pharma,domperidone 500mg,6 tablets,525.18,domperidone 500mg,2
Doloplus 250,Alkem Labs,Pregabalin 5 mg,5 ml,133.39,pregabalin 5mg,1
Metds 1000,Alkem Labs,sertraline(400mg),1 bottle,467.1,sertraline 400mg,1
Augsr 250,Hetero Drugs,rosuvastatin 100mg,10 capsules,483.27,rosuvastatin 100mg,8
Cetsol 1000,Wockhardt,pregabalin(200 mg),30 tablets,144.17,pregabalin 200mg,18
Augsr 500,GSK India,pregabalin 250 mg,6 tablets,441.8,pregabalin 250mg,6
Pands 250,Novartis India,GABAPENTIN-40mg,6 tablets,504.73,gabapentin 40mg,13
Mettab 40,Zydus Cadila,Metformin 250 mg,5 ml,97.41,metformin 250mg,19
Azeeds 10,Sun Pharma,Metformin 40  mg,10 tablets,15.02,metformin 40mg,16
Cettab 250,Wockhardt,glimepiride(250mg),5 ml,318.44,glimepiride 250mg,18
Doloxr 10,Aurobindo Pharma,losartan 500 mg,10 tablets,342.48,losartan 500mg,2
Dolood 250,Wockhardt,Pantoprazole 1000 mg,6 tablets,537.72,pantoprazole 1000mg,18
Amoxds 20,Cipla,methylcobalamin 40 mg,10 tablets,397.6,methylcobalamin 40mg,3
Brutab 1000,Zydus Cadila,ibuprofen(5mg),5 ml,104.17,ibuprofen 5mg,19
Cettab 20,Aurobindo Pharma,rabeprazole 400 mg,5 ml,449.31,rabeprazole 400mg,2
Clavod 10,Dabur Pharma,ciprofloxacin 1000mg,5 ml,581.6,ciprofloxacin 1000mg,4
Bruxr 500,Hetero Drugs,DICLOFENAC-40mg,10 capsules,410.38,diclofenac 40mg,8
Amoxcap 10,Dr Reddy,ZINC SULPHATE-100mg,10 tablets,429.31,zinc sulphate 100mg,5
Amoxsr 1000,Dr Reddy,Levothyroxine (500 mg),10 tablets,458.72,levothyroxine 500mg,5
Brutab 250,Novartis India,fexofenadine(20 mg),10 capsules,61.05,fexofenadine 20mg,13
Brutab 40,Intas Pharma,Levothyroxine (1000 mg),1 bottle,541.47,levothyroxine 1000mg,10
Cetplus 1000,Aurobindo Pharma,METHYLCOBALAMIN-5mg,15 tablets,166.9,methylcobalamin 5mg,2
Omeforte 1000,GSK India,telmisartan 10 mg,5 ml,566.98,telmisartan 10mg,6
Amoxcin 10,Lupin,Zinc sulphate 5 mg,15 tablets,204.67,zinc sulphate 5mg,11
Clavcap 1000,Wockhardt,clopidogrel 20 mg,5 ml,197.83,clopidogrel 20mg,18
Augod 500,Glenmark,Levothyroxine 40 mg,30 tablets,200.92,levothyroxine 40mg,7
Omexr 40,Intas Pharma,Tramadol 5 mg,5 ml,303.59,tramadol 5mg,10
Clavsr 20,Dr Reddy,Metoprolol 10  mg,1 bottle,245.28,metoprolol 10mg,5
Azeeod 40,Hetero Drugs,Levocetirizine (400 mg),6 tablets,549.33,levocetirizine 400mg,8
Bruforte 10,Cipla,rosuvastatin(40mg),10 capsules,70.72,rosuvastatin 40mg,3
Augforte 10,Himalaya,clonazepam(400 mg),15 tablets,282.13,clonazepam 400mg,9
Amoxxr 250,GSK India,Metoprolol (500 mg),10 tablets,76.71,metoprolol 500mg,6
Augforte 10,Alkem Labs,Montelukast 250  mg,10 capsules,65.79,montelukast 250mg,1
Dolotab 40,Lupin,Atorvastatin (100mg),10 tablets,481.63,atorvastatin 100mg,11
Azeexr 10,Mankind Pharma,clonazepam(40mg),30 tablets,145.26,clonazepam 40mg,12
Augod 10,Dabur Pharma,Fexofenadine (1000 mg),15 tablets,238.19,fexofenadine 1000mg,4
Doloforte 500,Novartis India,Atorvastatin (200 mg),15 tablets,278.87,atorvastatin 200mg,13
Bruod 250,Aurobindo Pharma,clonazepam(250 mg),10 capsules,213.97,clonazepam 250mg,2
Omesol 1000,Zydus Cadila,Montelukast (200 mg),30 tablets,77.23,montelukast 200mg,19
Bruxr 500,Zydus Cadila,rabeprazole(10 mg),10 capsules,296.11,rabeprazole 10mg,19
Cetcap 1000,GSK India,RANITIDINE-400mg,30 tablets,506.46,ranitidine 400mg,6
Bruds 20,Alkem Labs,PARACETAMOL-40mg,5 ml,394.62,paracetamol 40mg,1
Pansol 1000,Dr Reddy,DICLOFENAC-40mg,10 capsules,27.36,diclofenac 40mg,5
Omeod 250,Novartis India,Tramadol 200  mg,10 capsules,166.59,tramadol 200mg,13
Brutab 40,Novartis India,Gabapentin 500 mg,15 tablets,499.4,gabapentin 500mg,13
Omesr 250,Hetero Drugs,amoxicillin 20 mg,5 ml,467.17,amoxicillin 20mg,8
Clavcap 500,Wockhardt,vitamin d3(500 mg),15 tablets,489.61,vitamin d3 500mg,18
Doloplus 1000,Novartis India,gabapentin(200mg),15 tablets,347.06,gabapentin 200mg,13
Cetcap 500,Cipla,Cetirizine 20 mg,30 tablets,94.58,cetirizine 20mg,3
Amoxxr 10,Himalaya,ONDANSETRON-40mg,6 tablets,275.58,ondansetron 40mg,9
Azeexr 500,Dr Reddy,omeprazole 20 mg,5 ml,581.13,omeprazole 20mg,5
Cetod 10,Novartis India,levothyroxine 100mg,10 capsules,474.68,levothyroxine 100mg,13
Cetsr 10,Sun Pharma,Amoxicillin 10 mg,10 tablets,8.4,amoxicillin 10mg,16
Doloplus 250,Torrent Pharma,AMLODIPINE-100mg,10 tablets,228.13,amlodipine 100mg,17
Ometab 250,Wockhardt,ONDANSETRON-100mg,6 tablets,134.35,ondansetron 100mg,18
Dolotab 10,Sun Pharma,Clonazepam (20 mg),6 tablets,418.87,clonazepam 20mg,16
Amoxcap 10,Glenmark,Omeprazole (10mg),30 tablets,465.89,omeprazole 10mg,7
Clavcap 10,Himalaya,metoprolol(1000mg),10 tablets,215.9,metoprolol 1000mg,9
Cettab 20,Dr Reddy,LEVOCETIRIZINE-20mg,10 tablets,440.17,levocetirizine 20mg,5
Azeeod 20,Dr Reddy,amlodipine 400mg,15 tablets,434.94,amlodipine 400mg,5
Azeesol 40,Sanofi India,IBUPROFEN-100mg,10 capsules,239.92,ibuprofen 100mg,15
Augod 250,Lupin,Aspirin 40  mg,15 tablets,320.75,aspirin 40mg,11
Dolods 40,Himalaya,Levothyroxine 20 mg,1 bottle,110.28,levothyroxine 20mg,9
Amoxsol 250,Dr Reddy,atorvastatin(250mg),10 tablets,554.17,atorvastatin 250mg,5
Brutab 40,Wockhardt,Glimepiride 5  mg,6 tablets,325.65,glimepiride 5mg,18
Cetds 1000,Alkem Labs,montelukast(1000mg),5 ml,239.31,montelukast 1000mg,1
